ee_r264_id,iso3_r250_id,iso3_r250_label,ee_r264_description,gep_subistence_fish
139,492,MCO,Monaco,
104,833,IMN,Isle of Man,
57,136,CYM,Cayman Islands,
48,178,COG,Republic of the Congo,
181,630,PRI,Puerto Rico,
204,666,SPM,Saint Pierre and Miquelon,
84,292,GIB,Gibraltar,
29,112,BLR,Belarus,3051619.2
121,296,KIR,Kiribati,
220,762,TJK,Tajikistan,
115,400,JOR,Jordan,
18,108,BDI,Burundi,
162,562,NER,Niger,
129,662,LCA,Saint Lucia,
97,344,HKG,"China, Hong Kong Special Administrative Region",
173,586,PAK,Pakistan,0
188,638,REU,Réunion,659307.375
213,534,SXM,Sint Maarten,
130,438,LIE,Liechtenstein,
174,591,PAN,Panama,0
196,239,SGS,South Georgia and the South Sand,
28,652,BLM,Saint Barthélemy,
154,500,MSR,Montserrat,
10,51,ARM,Armenia,
128,434,LBY,Libya,
36,64,BTN,Bhutan,
126,422,LBN,Lebanon,0
145,807,MKD,North Macedonia,55197.02451
195,702,SGP,Singapore,
9,32,ARG,Argentina,193184950
61,262,DJI,Djibouti,
190,643,RUS,Russia,18132175.5
203,706,SOM,Somalia,
103,360,IDN,Indonesia,
8,784,ARE,United Arab Emirates,
127,430,LBR,Liberia,0
56,162,CXR,Christmas Island,98158709.32
83,288,GHA,Ghana,0
120,116,KHM,Cambodia,
66,218,ECU,Ecuador,
72,231,ETH,Ethiopia,
100,191,HRV,Croatia,3321354.375
212,748,SWZ,Swaziland,
248,383,XKX,Kosovo,
251,887,YEM,Yemen,
233,581,UMI,United States Minor Outlying Isl,
82,831,GGY,Guernsey,
240,92,VGB,British Virgin Islands,
17,31,AZE,Azerbaijan,
153,478,MRT,Mauritania,0
46,120,CMR,Cameroon,
186,258,PYF,French Polynesia,
211,752,SWE,Sweden,66647166
4,660,AIA,Anguilla,
55,531,CUW,Curaçao,
65,12,DZA,Algeria,
177,608,PHL,Philippines,
114,832,JEY,Jersey,
125,418,LAO,Laos,
70,724,ESP,Spain,45468.14
119,417,KGZ,Kyrgyzstan,
71,233,EST,Estonia,478993.5411
